lab_id,labkesmas,tier,kategori,alat_kmk,standar,jumlah_berfungsi,status
6,Labkesda Kab. Banjar,2,A. Hematologi/Kimia Klinik/Imunologi,Hematology Analyzer,1,2,Sesuai
6,Labkesda Kab. Banjar,2,A. Hematologi/Kimia Klinik/Imunologi,Chemistry Analyzer,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,A. Hematologi/Kimia Klinik/Imunologi,Semi Automated Urine Analyzer,1,1,Sesuai
6,Labkesda Kab. Banjar,2,A. Hematologi/Kimia Klinik/Imunologi,ELISA Set (Reader + Washer),1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,B. Mikrobiologi,Rak dan Bak Pewarnaan,2,0,Tidak Ada
6,Labkesda Kab. Banjar,2,B. Mikrobiologi,Digital Colony Counter,2,1,Kurang
6,Labkesda Kab. Banjar,2,B. Mikrobiologi,Inkubator (Microbiological incubator),2,0,Tidak Ada
6,Labkesda Kab. Banjar,2,B. Mikrobiologi,Inkubator CO2,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,B. Mikrobiologi,Biosafety Cabinet Class II Type A2 (mikro+biomol),2,0,Tidak Ada
6,Labkesda Kab. Banjar,2,B. Mikrobiologi,Nephelometer,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,B. Mikrobiologi,Mikrobiologi Air Sampler,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,C. Biomolekuler,Tes Cepat Molekuler (TCM),1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,C. Biomolekuler,Automatic Extractor,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,C. Biomolekuler,Real Time PCR,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,C. Biomolekuler,Laminar Air Flow,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,C. Biomolekuler,Spindown,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,C. Biomolekuler,Heat Block,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,C. Biomolekuler,Cooling Rack,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,Anemometer,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,Flowmeter Udara,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,Thermohygro-barometer,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,Low Volume Air Sampler,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,High Volume Air Sampler,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,CO Detector,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,CO2 Detector,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,Air Sampler Impinger,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,Chlorine Test,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,pH Meter Include Suhu,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,Total Dissolved Solids (TDS) Meter,1,1,Sesuai
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,COD Reactor,1,1,Sesuai
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,BOD Incubator,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,Manifold Pump Set / Membrane Filter,1,1,Sesuai
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,Desiccator,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,Stomacher,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,Turbidimeter,1,1,Sesuai
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,"Digital Particulate Meter PM 2,5 & 10",1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,Pompa Vakum (portable),1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,Dissolved Oxygen (DO) Meter,1,1,Sesuai
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,Secchi Disk,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,Aerator Pump,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,UV Index Test,1,0,Tidak Ada
6,Labkesda Kab. Banjar,2,D. Kesehatan Lingkungan,Termometer,1,2,Sesuai
6,Labkesda Kab. Banjar,2,E. Toksikologi,Spektrofotometer UV Vis,1,1,Sesuai
